"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"MONITOR BACK ORDER PROCESSING RUN","Used to monitor the schedule BOP run and identify the results and any exceptions. It will specify the one-time allocation, its percentage and also the results of assignment.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Cross-Plant Configurable Material","Generic Material - Alphanumeric key uniquely identifying the configurable material. Unlike the plant-specific configurable material, the cross-plant configurable material is valid for all plants.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-SATNR, MDG-FSH_SEASONS_MAT-SATNR"
"ZFRT","SAP finished goods material.&nbsp; May contain UPC code. (1 million number range)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"POSTING DATE","The date that determines in which posting period a document or journal entry is added to the database. This is important for reporting, especially tax reporting.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Technical Designer (PLM)","Technical Designer is the name of the person in Product Development who is responsible for the specific product or material that is being developed.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiTechnicalDesigner"
"Supply Region","Regional zones which the vendor supplies.
Use
The supply regions are defined according to the requirements of the vendor. Each plant can be assigned to a region. If supply regions have been maintained for a vendor, and if, in a PO, these differ from the ones defined for the plant, a warning message is issued.
The supply region corresponds to the transportation zone in SD.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-ZONE1"
"Path Complete Indicator (APS)","The path complete indicator will inform the cost system when a path is ready to be automatically moved to the cost system.  As long as the path complete indicator is set to ""no"", it will not go over to the cost system.  
""	All path 40 items should remain as a ""no"" as we do not want path 40 items to enter the cost system.  Path 40 set ups are for American Custom Outfitters.
""	Path Complete Indicator- All paths set up for textile capacity planning and for Printables customer bulk orders (colors XX, YY and ZZ) should remain as a path complete indicator of  ""no"". 
""	Path Complete Indicator- Paths set up for cut part holding locations should be set up as path complete ""yes"".  We do want to cost these paths. 
""	Path Complete Indicator- The path complete indicator is not a planning indicator. 

 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-PATH_COMPLETE_IND"
"Material-Product Numerator for Conversion to Base Units of Measure","Numerator of the quotient that specifies the ratio of the alternative unit of measure to the base unit of measure.
UOM G0x = Garment Selling Qty
UOM I0x = Garments per Innerpack
UOM C0x = Innerpacks per Case
UOM L0x = Cases per Layer = Pallet Ti
UOM P0x = Layers per Pallet = Pallet Hi","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARM-UMREZ"
"Product Name (PLM)","Name attribute is used for object identification within FlexPLM","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-productName"
"Express Train Station Express Station (AFS)","Free flowing field used to denote Duplicate account.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Express Station","AFS-KNA1-BAHNE"
"Partial Delivery at Item Level","This field must always be C which tells that the customer: Only complete delivery allowed. ANTLF will drive the delivery allowed.  ","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVV-KZTLF"
"End Effect Date (APS)","End Date","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU REVISION-END EFFECT DATE"
"VARIANT ARTICLE","Variations of the generic article – Sizes","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Color Shade  Code (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-COLOR-COLOR_SHADE_CD"
"Gender Group (IBP)","Indicates the Gender Group of the product

EX Values: KIDS, MENS, WOMENS, OTHER","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZGENDERGROUP"
"Delivery Address 2 (APS)","Delivery Address 2","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-DELIVERY ADDRESS 2"
"Target UoM Desc (IBP)","Description of UOM","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Unit of Measure-UOMTODESCR"
"PO Box (AFS)","PO Box number as part of an address.","Draft","","PO Box;","","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","PO Box","AFS-KNA1-PFACH, AFS-ADRC-AD_PSTCD1"
"BP Role","Function that a business partner takes on, depending on a business transaction.
Use
You can define business partner roles along with their attributes in Customizing.
You can create an alphanumeric, 6-digit key for the BP role. You can also choose a title as the short form and a description as the long form for the role text.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Business Partner Role","MDG-BUT100-RLTYP"
"Plant","A place where materials are produced or goods and services are provided. Also, a DC from which an order ships
Key uniquely identifying a plant.
An organizational unit within the company code where material is produced, purchased, and planned.
Definition of a plant depends on its use. It can be defined as a location that holds valuated stock, or as an organizational unit that is central to production planning, or a location that contains.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","","",""
"Bol Reqd Indicator (APS)","Bill Of Lading Required Indicator","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-BOL REQD IND"
"Prod Segment  Code (APS)","The product segment code is required for Champion garment skus.  It is not required for Champion non-garment skus.   product Segment- For initial set up, Champion skus are loaded with DF (default).  Value is systematically loaded from forecasting system. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-PROD_SEGMENT_CD"
"Htsus Tariff  Code (APS)","
INITIALLY, THE HTSUS Tariff code will be populated WITH a DEFAULT VALUE OF TBD9.99.9999 FOR purchased supplies.  Ultimately, THE International Trade GROUP will maintain THE HTSUS Tariff code THROUGH an INTERFACE TO APS.  
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-HTSUS_TARIFF_CD"
"SALES DOCUMENT NUMBER","The number that that uniquely identifies the sales, delivery or billing document","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Purchasing Info Record Material Number","Alphanumeric key uniquely identifying the material.","Approved","","","SKU","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","Material Number, SKU, Article Number, Part Number, Item Number","MDG-EINA-MATNR"
"PM assembly indicator","This indicator shows that this item is part of a technical object ( assembly) for which maintenance tasks are planned and carried out.
You can use this indicator to restrict the selection of items in the BOM explosion. In this case, only the items that are PM assemblies are shown.
The indicator does not interrupt the explosion of the BOM to the lowest lever. There are two steps to the BOM explosion:
�First, the system explodes the entire BOM, regardless of the indicators selected to restrict items. You do not see the result of this explosion on the screen.
�Second, the system reads the indicators selected to restrict items, such as the PM assembly indicator.
These indicators work as filters. The explosion result you see on the screen only includes the items that fulfil the selection criteria.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-STKKZ"
"Width","Breadth of the material or its packaging, measured in the unit of dimension.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARM-BREIT"
"PASSIVE SPLITTING","Used for clearing documents or payment documents where the splitting is performed based on the original document.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Agent Name (APS)","Agent Name","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-AGENT NAME"
"Business Unit (AFS)","Specifies which Business Unit is ordering.","Approved","","","BU","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNA1-ZZBUNIT"
"Purchasing Info Record Number of Days for First Reminder-Expediter","Number of days representing the time interval at which reminders or urging letters/messages (may also be termed ""chasers"", ""hasteners"" (UK) or ""expediters"" (USA)) are to be issued to the supplier.
Use
A negative number of days means that a reminder is to be issued to the supplier n days prior to a certain date (for example, the delivery date or the deadline for submission of quotations).
A positive number of days means that a letter or message urging delivery or submission of a quotation etc. is to be issued n days after the due date.
Procedure
In the case of purchasing documents, the time intervals are defaulted from the purchasing info record or, if one does not exist, from the material master record.
Dependencies
The basis for the reminder intervals is the delivery date or deadline for submission of quotations etc.
In the event of several reminder levels, the days must be set out in ascending order of time, without gaps.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-MAHN1"
"Major Sort Size Seq  Code (APS)"," A sequential number dedicated to sorting major sizes of garments","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ITEM_SIZE-MAJOR_SORT_SIZE_SEQ_CD"
"Plant Category","Indicates the logical functions of a plant.
Example
In Retailing a distinction is made between stores and distribution centers.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-VLFKZ"
"Category Prt Code (APS)","The category PRT code is a marketing categorization and is used in conjunction with the GTIN label code.  If the GTIN label code is
 	002 FOR Outerbanks, THEN THE CATEGORY PRT code must be B.
 	003 FOR Champion, THEN THE CATEGORY PRT code must be 3.
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_PRT-CATEGORY_PRT_CD"
"Sequence Number","Sequence Number","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-ADR2-CONSNUMBER, MDG-ADR2-CONSNUMBER, MDG-ADR6-CONSNUMBER"
"ERP weight","Weight as derived in financial system","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZERP_WEIGHT"
"SKU SUBSTITUTION","Automatically substituting one SKU for another, either at the time of booking or at the time of allocation","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"End Sell Date (APS)","The end sell date indicates the last date that Hanes.Net will create an order.  If the end sell date is entered, it must be greater than today’s date. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PRT-END_SELL_DATE"
"Sort Sequence Number","When you display or change line items, they are displayed in a standard sort sequence. The standard sort sequence is determined internally by the system. The system uses selected fields within the document to do this.
You can change the sort sequence in the line item display. In addition, you can choose the fields you want to sort by. If you require any additional fields, you can specify them in the system.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-LTSSF"
"Shipping Conditions","General shipping strategy for the delivery of goods from the vendor to the customer.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVV-VSBED"
"Planning Unit ID (IBP)","A subnetwork is a subsection of the overall supply chain network for which a planner is responsible or that the planner wants to plan in a separate planning run (for example, all location products in a particular region or all location products in a particular product group).

Similar to the master data model for the entire supply chain network, a subnetwork consists of nodes (that is, location products) and arcs (which are used to model the transport links between the location products). You define the subnetwork to which a location product belongs in the location product master data. You can define subnetworks for product groups or regions, or for any other property of locations, products, or location products.

When planners start a planning session, they select one or more subnetworks that are to be taken into account by the planning algorithm. This therefore defines the set of location products that are to be planned. Visibility filters can be used to define which location products and subnetworks a user is allowed to display and change","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-PLUNITID"
"Case Ord Unit Indicator (APS)","All each order unit indicators are set to Y with the exception of Casual wear jersey, Attributed Jersey, Printables and All Corporate Division codesY","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CASE_ORD_UNIT_IND"
"Negative stocks allowed in site","Indicates that negative stocks of the material are allowed at the plant. Negative stock balances can only result if they are allowed at the following levels:
�Valuation area level
�Storage location level
�Material level (plant data in the material master record)
Negative stock levels are already allowed for special stocks if negative stocks have been activated in the valuation area and for the special stock in question in the plant. You do not have to activate them in each material master record.
You can have negative balances in stocks of the types ""unrestricted-use"" and ""blocked"".
Negative balances are possible in the following special stocks:
�Vendor consignment (K)
�Stock of material provided to vendor (O)
�Consignment stock at customer (W)
�Sales order stock (E)
�Project stock (Q)
�Returnable packaging stock at customer (V)
�Returnable transport packaging (M)
Can be set if there is a requirement to allow stocks of specific material to be in a negative stock situation.  The negative stock occurs when there is actual stock, but that stock has not been receipted into inventory. This allows stock to be shipped without waiting for paperwork to be completed.","Approved","","","","Melissa.Doll@hanes.com:PRODUCT DEV-Activewear Melissa Doll (Sr Mgr);Bernadette.Ledbetter-Booker@hanes.com:PRODUCT MGT-Champion Bernadette Booker (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-XMCNG"
"Business Unit (APS)","The corporate business unit is the business unit that is associated with ""owning"" division.  This is a display field only and will be derived from the corporate division.  Please see chart in the style section of this manual. 
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-BUSINESS_UNIT"
"Category (APS)","Category Of Distribution Center, Outside Vendor, Manufacturing","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-CATEGORY"
"Rsvn Status  Code (APS)","All items except material types G (greige fabric) and F (finished fabric) should be set up with an ""R"" reservation status.  G and F material types will default to reservation status S.  The reservation status will automatically be changed to ""S"" when a style record is created for all other material types.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_RSVN-RSVN_STATUS_CD"
"UTC Time Stamp in Long Form (YYYYMMDDhhmmssmmmuuun)","Last change date and time for BOM","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STKO-LASTCHANGEDATETIME"
"Name of Person who Created the Object","Name of Person who Created the Object","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-ERNAM"
"Safety Stock (IBP)","safety stock is a extra stock to avoid stock out or fulfill the uncertain demand at any point in time .Adequate safety stock levels permit business operations to proceed according to their plans.Safety stock is held when there is uncertainty in the demand level or planned delivery ","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-SAFETYSTOCK"
"Comp Attribute  Code (APS)","A mixture of alpha and numeric symbols used to uniquely  categorize distinctive qualities and characteristics of a group of HBI product.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-BILL_OF_MTRLS-COMP_ATTRIBUTE_CD"
"Std Case Weight (APS)","The standard case weight is required for Casualwear and Printables skus.  The standard case weight for Printables skus cannot be changed through this screen.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PUTUP-STD_CASE_WEIGHT, APS-SKU_REVISION-STD_CASE_WEIGHT"
"Customer Language Key","The language key indicates
- the language in which texts are displayed,
- the language in which you enter texts,
- the language in which the system prints texts.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Language","MDG-KNA1-SPRAS"
"DISPUTE GENERATION","Both Champion and non-Champion deductions will be managed in SAP S4 FSCM dispute management. (AFS used FSCM)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Free Goods Count (IBP)","The number of free goods in the product's package","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZFREEGOODSCNT"
"First Name (AFS)","First name of a customers contact person.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVK-NAMEV"
"Customs Gender  Code (APS)","The customs gender will be supplied by the International Trade group.  
""	Customs Gender- At implementation time, we will use a default value for the customs gender code.  It will be TG.
""	Customs Gender- You may use the same customs gender code on the garment and the cut part.
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-CUSTOMS_GENDER_CD"
"SuperCPG Cust Group Descr (IBP)","Description for the Super CPG Customer Group","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZSCPGCUSTGROUPDESCR"
"Plan Start Date (APS)","Planning Start Date","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-PLAN_START_DATE"
"Process  Code (APS)","A column on the Attribute table that holds a unique identifier equivalent to SP","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ATTRIBUTE-PROCESS_CD"
"Mail State (APS)","
A symbol representing an area forming part OF a federal country such AS THE United States OR Australia WITH its OWN government AND legislature AND control OVER most OF its OWN internal affairs","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-MAIL_STATE"
"POS outbound: condition type group","Identifies a set of conditions which are analyzed and transferred to a POS system at download.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-EKOAR"
"RCVG SLOC","Receiving storage location – the storage location that is to receive the goods/materials.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Cvs Fabric Type  Code (APS)"," ACI cost accounting type for fabric.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-CVS_FABRIC_TYPE_CD"
"Placeholder ID (IBP)","Indicates the ID of the placeholder product representing the PRDID. A placeholder product is a configurable rollup of other PRDIDs and is what's planned instead of the detailed PRDIDs. A PRDID (non placeholder) can exist under one and only one Placeholder product.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZPLHID"
"Reference to other vendor","Reference to other vendor","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-WYT3-LIFN2"
"Pkg Inventory Indicator (APS)","Indicator If Plant Is A Packaging Inventory Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-PKG INVENTORY IND"
"BUSINESS SEGMENT DESCRIPTION","Business Segment","Approved","","","","Philip.Egnatz@hanes.com:FINA-Corporate Phil Egnatz (Dir Acctg Comm);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZBUSSSEGDESC"
"Size Short  Description (APS)"," An english like name that describes the size of a product","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ITEM_SIZE-SIZE_SHORT_DESC"
"Item Type  Code (APS)","The item type is being used to determine the consumption point in the bill of material.  The consumption point is used in the inventory evaluation process to determine when a specific item is added to the value of the inventory.  The item type will determine the default value for the consumption point.  The consumption point default value can be overridden in the bill of material.  The item type for all garments is GR. 
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-ITEM_TYPE_CD"
"Sales Org ID (IBP)","ID code for the Sales Orginiztation","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZSALESORGID"
"PRODUCT ALLOCATION (PAL)","Business can prioritize planned demand, protecting inventory for high priority demand.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Customer Id In The Partner (AFS)","Identifies the customer ship to store number","Draft","","","Store","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Customer Store Number","AFS-KNA1-J_3ASTCU"
"ORDER REASON","Reason the order was created; used for downstream reporting, allocation and functional purposes","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Finance Profit Center","Key which together with the controlling area uniquely identifies a profit center.
Represents a combination of Product Group/Brand/COT/Gender/Age attributes.","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","Profit Center","MDG-CEPC-PRCTR"
"Sort Key","Indicates the layout rule for the Allocation field in the document line item.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNB1-ZUAWA"
"Gender Age (PLM)","Combination of gender and age group to which the products are intended to be sold.  These groupings are generally intuitive broad categories of people based on their gender and their age that convey size, style, and/or functional preferences of products t","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiGenderAge"
"Caller Number","The content of this field is automatically calculated by the system based on the telephone number and country code components.
This field is therefore not to be filled when Business Address Services function modules are called.
Specific applications (for example, SAPphone) can ensure that a deviating value can be transferred in this field, when certain BAS function modules are called with the parameter ACCEPT_TELNR_CALL.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-ADR2-TELNR_CALL"
"Carton Id (APS)","
THE carton ID must exist ON THE CASE/carton TABLE FOR THE appropriate corporate division.  THE CASE/carton TABLE that IS being maintained BY Purchasing.     ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-CARTON_ID"
"REPORT LAYOUT","The layout determines the list format.  A layout can contain the following information:  List column structure, Sort criteria, Filter conditions","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Proto Id (APS)","The prototype number that is being adopted and set up.  This is not a required field.    ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-PROTO_ID"
"Walmart Rpln Id (APS)"," The Wal-Mart replenishment code is optional and supplied by Wal-Mart.  It is a code that is printed on the hangtag.  The code is to be used by Wal-Mart. This field is currently only used for Casualwear skus.  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-WALMART_RPLN_ID"
"Marker Id (APS)","Marker Identification Number","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-BILL_OF_MTRLS-MARKER_ID"
"Primary Growith Team (IBP)","The primary Growth Team of the product","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZPRIMEGRWTHTM"
"Customer Division","A way of grouping materials, products, or services. The system uses divisions to determine the sales areas and the business areas for a material, product, or service.
A product or service is always assigned to just one division. From the point of view of sales and distribution, the use of divisions lets you organize your sales structure around groups of similar products or product lines. This allows the people in a division who process orders and service customers to specialize within a manageable area of expertise.
Used to distinguish different areas of the distribution channel
Data needed to set up SAP article/material refers to legacy HBI structure - Derived","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","DIV, Division","MDG-KNVV-SPART, MDG-ZTSA_CUST_XREF-SPART"
"Valuation Class","Value identifying the valuation class for valuated stocks of material.
Default value for the valuation class for valuated stocks of this material. The valuation class has the following functions:
�Allows the stock values of materials of the same material type to be posted to different G/L accounts.
�Allows the stock values of materials of different material types to be posted to the same G/L account.
�Determines together with other factors the G/L accounts updated for a valuation-relevant transaction (such as a goods movement).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","Valuation Class","MDG-MBEW-BKLAS, MDG-MAW1-WBKLA"
"FISCAL YEAR VARIANT","The fiscal year variant used by HBI is H1 and it is used for leading ledger postings","Approved","","","","Teresa.Fisher@hanes.com: Teresa Fisher;","Jennifer.Shotton@hanes.com: Jennifer Shotton - Director, Finance Integration Optimization;","","General; Finance","",""
"PO Box","PO Box number as part of an address.","Draft","","PO Box;PO Box (AFS);","","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","PO Box","MDG-KNA1-PFACH, MDG-ADRC-AD_PSTCD1"
"Predecessor Node","Predecessor Node","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-VGKNT"
"Node type: Supply Chain Network","Node type: supply chain network","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-NODETYPE"
"External Template Id (APS)","External Cross Refernce Template Id","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL SKU XREF-EXTERNAL TEMPLATE ID"
"Supplier Street 2","Additional address field which is printed above the Street line.
The Street address contains two lines above the street and two lines below the street.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-ADRC-STR_SUPPL1"
"Customer Planning Group Description (IBP)","Description for the Customer Planning Group","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZCPGDESCR"
"UPC requirement","This field is sent from Flex and determines if no UPC is required, or if a Internal OR External UPC must be assigned.","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZUPCCONTROL"
"Delivery City (APS)","
IN THE United States, an incorporated urban center that has self-government, boundaries, AND legal rights established BY state charter ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-DELIVERY_CITY"
"Marketing Responsibility","Functional marketing business owner.","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZMARKETINGRESP"
"SUBCONTRACTING","A form of procurement in which the product to be procured is manufactured by a supplier (the subcontractor) to whom the procuring entity supplies components for the purpose.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Pricing profile for variants","Specifies how you maintain the sales prices of the variants of a generic material. You have the following options:
�The sales prices of the variants correspond to that of the generic material.
�The sales prices of the variants differ from that of the generic material.""","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-SPROF"
"Garments Per Pallet (APS)","Garments per pallet is required if the corporate business unit is Casualwear.  The garments per pallet must be a multiple of the standard case quantity.   ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-GARMENTS_PER_PALLET"
